date,barbican,golden_lane,city_of_london_flats,london_flats,england_flats
2021-05-21,540000,,,,
2014-12-18,640000,,,,
2009-11-09,246000,,,,
2007-02-07,235000,,,,
2001-09-07,124000,,,,
2000-07-28,224000,,,,
1999-05-21,156000,,,,
2023-08-10,950000,,,,
2000-06-21,229000,,,,
2022-06-22,1310000,,,,
2018-01-25,983000,,,,
2018-03-19,750000,,,,
2005-09-08,315000,,,,
2003-04-10,272500,,,,
2002-07-22,240000,,,,
2001-03-01,205000,,,,
2024-04-25,850000,,,,
2011-02-23,617000,,,,
2002-09-12,377500,,,,
2006-02-03,360000,,,,
2016-10-14,995000,,,,
2021-04-16,1295000,,,,
2003-12-05,488000,,,,
2000-09-26,485000,,,,
1998-02-27,170000,,,,
2011-05-13,472500,,,,
1997-02-07,118500,,,,
2018-10-10,760000,,,,
2012-12-20,500000,,,,
2015-07-01,880000,,,,
2009-08-04,500000,,,,
2005-04-28,296000,,,,
2018-08-15,870000,,,,
1997-11-20,150000,,,,
2001-01-10,140500,,,,
1997-10-13,87000,,,,
2014-10-03,1727009,,,,
2024-09-30,805000,,,,
2000-10-27,243000,,,,
1998-07-02,120000,,,,
2014-09-03,1800000,,,,
2002-04-05,547500,,,,
2017-06-20,1680000,,,,
2010-04-30,900000,,,,
2001-02-14,230000,,,,
2011-04-08,999900,,,,
2020-11-06,420000,,,,
2015-07-22,415000,,,,
2008-12-01,228000,,,,
2013-04-25,1200000,,,,
2000-06-01,415000,,,,
1997-12-29,255000,,,,
1998-12-23,156000,,,,
1998-01-08,120000,,,,
2006-09-11,365000,,,,
2004-08-13,540000,,,,
2001-06-29,385000,,,,
2008-01-31,975000,,,,
2005-04-29,610000,,,,
2010-08-26,490000,,,,
2003-05-02,237500,,,,
2007-10-30,580000,,,,
2022-09-01,400000,,,,
2007-12-14,287000,,,,
2006-02-03,200000,,,,
2007-03-22,401800,,,,
1996-07-23,111000,,,,
2016-07-26,950000,,,,
2009-11-27,475000,,,,
2000-07-21,232500,,,,
1998-05-11,163000,,,,
2010-01-28,430000,,,,
2015-09-04,1212000,,,,
2005-07-29,300000,,,,
2019-10-18,425000,,,,
2010-07-23,480000,,,,
2002-12-20,268500,,,,
2018-07-16,633333,,,,
1995-10-27,126250,,,,
2000-09-11,426075,,,,
1997-05-09,220000,,,,
2000-12-01,242500,,,,
2003-10-15,245000,,,,
2000-01-25,185000,,,,
2017-09-15,850000,,,,
2004-04-29,310000,,,,
1998-06-22,165000,,,,
1997-01-28,16000,,,,
1995-07-14,113000,,,,
