date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
2004-08-01,,,,,,,306457,,,,
2011-11-01,,,,,,,477266,,,,
2005-01-01,,,,,,,329693,,,,
2019-10-01,,,,,,,817265,,,,
2017-06-01,,,,,,,928317,,,,
2007-10-01,,,,,,,455356,,,,
2013-12-01,,,,,,,613269,,,,
2008-12-01,,,,,,,386288,,,,
2019-03-01,,,,,,,850428,,,,
2004-07-01,,,,,,,297680,,,,
2024-04-01,,,,,,,807040,,,,
2007-12-01,,,,,,,463205,,,,
2007-08-01,,,,,,,472767,,,,
2005-02-01,,,,,,,288271,,,,
2020-07-01,,,,,,,784073,,,,
2017-07-01,,,,,,,852500,,,,
2020-12-01,,,,,,,795146,,,,
2000-05-01,,,,,,,174589,,,,
2001-09-01,,,,,,,229269,,,,
2005-12-01,,,,,,,338917,,,,
2006-04-01,,,,,,,318874,,,,
2009-04-01,,,,,,,344516,,,,
2009-08-01,,,,,,,359582,,,,
2010-02-01,,,,,,,489097,,,,
2015-12-01,,,,,,,710815,,,,
1997-12-01,,,,,,,129705,,,,
2012-08-01,,,,,,,494417,,,,
1999-08-01,,,,,,,160464,,,,
2001-07-01,,,,,,,230167,,,,
2010-05-01,,,,,,,453614,,,,
2017-11-01,,,,,,,787921,,,,
2009-05-01,,,,,,,372589,,,,
2008-03-01,,,,,,,403919,,,,
2021-11-01,,,,,,,891513,,,,
2005-10-01,,,,,,,338129,,,,
2018-03-01,,,,,,,738167,,,,
2018-10-01,,,,,,,800475,,,,
2007-07-01,,,,,,,466256,,,,
2017-05-01,,,,,,,937307,,,,
2011-12-01,,,,,,,494721,,,,
2015-03-01,,,,,,,764602,,,,
1999-07-01,,,,,,,163624,,,,
2003-10-01,,,,,,,252466,,,,
2014-06-01,,,,,,,694924,,,,
2010-08-01,,,,,,,441173,,,,
2016-01-01,,,,,,,734273,,,,
2014-04-01,,,,,,,662998,,,,
2018-08-01,,,,,,,781319,,,,
2023-12-01,,,,,,,803747,,,,
2024-03-01,,,,,,,828034,,,,
1999-04-01,,,,,,,190681,,,,
2003-06-01,,,,,,,266682,,,,
2004-01-01,,,,,,,326273,,,,
2000-09-01,,,,,,,222606,,,,
2011-04-01,,,,,,,514747,,,,
2011-10-01,,,,,,,448535,,,,
2011-03-01,,,,,,,473880,,,,
2013-02-01,,,,,,,497452,,,,
2020-01-01,,,,,,,771196,,,,
2003-08-01,,,,,,,244966,,,,
2014-08-01,,,,,,,758902,,,,
2012-12-01,,,,,,,489801,,,,
2005-09-01,,,,,,,310257,,,,
2019-02-01,,,,,,,891344,,,,
2021-03-01,,,,,,,701469,,,,
2002-09-01,,,,,,,276454,,,,
2012-01-01,,,,,,,524008,,,,
2021-04-01,,,,,,,719253,,,,
2013-01-01,,,,,,,463805,,,,
2015-11-01,,,,,,,739225,,,,
1999-06-01,,,,,,,185505,,,,
2000-12-01,,,,,,,314014,,,,
2010-04-01,,,,,,,456922,,,,
2014-12-01,,,,,,,771083,,,,
2015-01-01,,,,,,,780970,,,,
2013-06-01,,,,,,,660321,,,,
2022-10-01,,,,,,,916789,,,,
1998-07-01,,,,,,,140050,,,,
2007-01-01,,,,,,,360095,,,,
2024-01-01,,,,,,,834221,,,,
2013-10-01,,,,,,,525500,,,,
2023-07-01,,,,,,,1007372,,,,
